EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
798259,ke  ,ISC      ,3/21/1970,1:23:14 PM,27.9237,54.5773,17,TRUE,ISC      ,mb    ,4.8
796200,ke  ,ISC      ,4/1/1970,11:54:05 PM,27.9055,56.784,42.1,,ISC      ,mb    ,5
795527,ke  ,ISC      ,5/12/1970,11:59:12 PM,27.5213,57.3491,22.4,,ISC      ,mb    ,4.9
793499,ke  ,ISC      ,7/4/1970,11:38:13 PM,26.8267,54.9164,17,TRUE,ISC      ,mb    ,4.7
790869,ke  ,ISC      ,10/7/1970,2:20:37 AM,27.8087,56.5797,28,TRUE,ISC      ,mb    ,4.7
791219,ke  ,ISC      ,10/18/1970,6:10:41 AM,27.4255,54.9918,28.9,,ISC      ,mb    ,4.9
791268,ke  ,ISC      ,10/20/1970,10:34:18 AM,27.5573,56.7014,18,TRUE,ISC      ,mb    ,4.8
791483,ke  ,ISC      ,10/27/1970,8:11:06 PM,26.5179,55.2302,10,TRUE,ISC      ,mb    ,4.6
790042,fe  ,ISC      ,11/9/1970,5:41:43 PM,29.4608,56.74,99.7,,ISC      ,mb    ,5.5
789529,ke  ,ISC      ,12/26/1970,7:51:58 PM,27.851,58.0444,10,TRUE,ISC      ,mb    ,4.8
788647,ke  ,ISC      ,1/28/1971,6:09:29 AM,28.3748,57.356,43,TRUE,ISC      ,mb    ,4.9
785559,ke  ,ISC      ,4/12/1971,7:03:24 PM,28.2698,55.7107,15,,ISC      ,mb    ,6.1
785587,ke  ,ISC      ,4/13/1971,8:43:00 PM,28.2628,55.6176,22,TRUE,ISC      ,mb    ,4.6
784204,ke  ,ISC      ,5/7/1971,11:18:45 PM,28.3164,55.4143,22,TRUE,ISC      ,mb    ,4.7
784935,ke  ,ISC      ,5/25/1971,4:32:39 AM,27.6732,55.3458,22.9,,ISC      ,mb    ,4.9
785180,ke  ,ISC      ,5/31/1971,11:05:51 AM,28.8204,54.6298,10,TRUE,NEIS     ,mb    ,4.4
783897,ke  ,ISC      ,6/28/1971,9:33:12 PM,26.7519,55.01,17,TRUE,NEIS     ,mb    ,4.1
779079,ke  ,ISC      ,10/5/1971,6:31:17 PM,27.2224,55.852,14,TRUE,ISC      ,mb    ,5.3
778271,ke  ,ISC      ,11/3/1971,9:42:53 AM,28.4726,57.3518,35,TRUE,ISC      ,mb    ,4.7
778294,ke  ,ISC      ,11/4/1971,4:10:13 AM,28.0791,57.3519,30,TRUE,         ,      ,
